Archivio estrazioni EuroJackpot anno 2012 aggiornato al 28/12/2012
Concorso	Data	N.1	N.2	N.3	N.4	N.5	EN.1	EN.2	Q5+2	VI5+2	VT5+2	Q5+1	VI5+1	VT5+1	Q5+0	VI5+0	VT5+0	Q4+2	VI4+2	VT4+2	Q4+1	VI4+1	VT4+1	Q4+0	VI4+0	VT4+0	Q3+2	VI3+2	VT3+2	Q2+2	VI2+2	VT2+2	Q3+1	VI3+1	VT3+1	Q3+0	VI3+0	VT3+0	Q1+2	VI1+2	VT1+2	Q2+1	VI2+1	VT2+1
41	28/12/2012	5	8	22	32	39	7	8	21000000.00	0	0	246863.80	0	3	24205.20	0	4	6874.80	0	13	190.10	0	372	96.90	0	461	69.70	0	908	17.90	0	14332	18.10	0	16805	14.00	0	19093	11.90	0	74754	7.20	0	236948
40	21/12/2012	11	20	24	25	35	4	8	19000000.00	0	0	0.00	0	0	183111.30	0	1	4016.70	0	22	300.20	0	233	131.80	0	335	52.20	0	1199	14.80	0	17722	23.00	0	13089	14.80	0	17323	8.90	0	98486	8.40	0	201039
39	14/12/2012	17	28	31	35	39	5	8	18000000.00	0	0	67214.20	0	5	0.00	0	0	4480.90	0	18	199.50	0	320	92.00	0	438	52.10	0	1096	15.80	0	14587	19.90	0	13840	13.30	0	18072	10.60	0	76070	8.20	0	186184
38	07/12/2012	13	20	22	27	42	3	5	16000000.00	0	0	159562.20	0	2	82972.30	0	1	2735.30	0	28	209.80	0	289	107.20	0	357	37.90	0	1430	12.40	0	19604	18.50	0	14120	12.40	0	16456	7.50	0	101225	7.30	0	197966
37	30/11/2012	2	13	21	24	37	6	7	15000000.00	0	0	921689.90	0	1	53653.50	0	3	4227.20	0	18	169.60	0	355	80.20	0	474	58.60	0	919	16.30	0	12012	16.30	0	17245	12.40	0	18794	12.40	0	60891	6.90	0	208200
36	23/11/2012	1	21	32	36	50	2	5	14000000.00	0	0	0.00	0	0	0.00	0	0	4832.60	0	15	303.60	0	189	140.40	0	258	64.20	0	799	16.70	0	13429	25.00	0	9889	16.70	0	11978	9.00	0	82320	9.00	0	151919
35	16/11/2012	1	4	7	21	26	4	7	12000000.00	0	0	0.00	0	0	78678.70	0	1	1274.10	0	57	178.50	0	322	92.40	0	393	28.10	0	1826	11.80	0	19533	17.50	0	14107	11.80	0	16449	8.30	0	86602	7.30	0	188874
34	09/11/2012	25	29	38	41	44	3	8	11000000.00	0	0	296291.10	0	1	38517.80	0	2	3742.60	0	19	282.80	0	199	131.10	0	271	57.00	0	883	15.90	0	13374	22.90	0	10576	15.90	0	12793	9.70	0	72945	8.50	0	159636
33	02/11/2012	3	5	7	12	31	5	7	10000000.00	0	0	252612.10	0	4	26248.30	0	3	875.70	0	83	100.20	0	574	58.60	0	620	21.70	0	2365	10.50	0	20298	12.50	0	19793	10.50	0	20114	8.90	0	81565	6.20	0	222390
32	26/10/2012	7	17	18	19	22	4	5	21320215.00	0	1	0.00	0	0	45992.80	0	4	2329.30	0	37	181.90	0	375	90.70	0	475	42.50	0	1435	12.50	0	19783	17.30	0	16993	11.90	0	21684	8.70	0	98609	6.90	0	238176
