Concorso	Data	Ruota	N1	N2	N3	N4	N5
86	18/07/2019	Nazionale	1	38	14	44	43
87	20/07/2019	Nazionale	33	9	12	18	34
88	23/07/2019	Nazionale	32	41	21	2	5
89	25/07/2019	Nazionale	23	39	16	35	29
90	27/07/2019	Nazionale	26	33	42	39	30
91	30/07/2019	Nazionale	14	2	12	25	33
92	01/08/2019	Nazionale	17	30	31	3	18
93	03/08/2019	Nazionale	39	40	1	38	32
94	06/08/2019	Nazionale	16	18	5	38	15
95	08/08/2019	Nazionale	18	15	2	8	16
96	10/08/2019	Nazionale	7	31	30	5	44
97	13/08/2019	Nazionale	4	9	44	1	33
98	16/08/2019	Nazionale	3	41	25	26	30
99	17/08/2019	Nazionale	7	35	45	29	15
100	20/08/2019	Nazionale	32	6	44	40	43
101	22/08/2019	Nazionale	20	4	26	24	1
102	24/08/2019	Nazionale	10	12	30	18	7
103	27/08/2019	Nazionale	7	42	29	27	15
104	29/08/2019	Nazionale	14	40	24	2	1
105	31/08/2019	Nazionale	43	36	2	3	16
106	03/09/2019	Palermo	29	13	5	14	16
107	05/09/2019	Palermo	16	17	9	10	43
108	07/09/2019	Palermo	20	40	4	34	1
109	10/09/2019	Palermo	15	21	2	30	9
110	12/09/2019	Palermo	9	36	31	44	19
111	14/09/2019	Palermo	20	37	40	24	6
112	17/09/2019	Palermo	6	28	27	42	33
113	19/09/2019	Palermo	43	32	18	38	26
114	21/09/2019	Palermo	27	1	30	21	4
115	24/09/2019	Palermo	17	9	40	24	26
116	26/09/2019	Palermo	29	38	18	20	9
117	28/09/2019	Palermo	28	21	45	3	23
118	01/10/2019	Roma	1	8	14	43	32
119	03/10/2019	Roma	41	36	34	42	45
120	05/10/2019	Roma	5	45	23	42	11
121	08/10/2019	Roma	11	34	14	6	35
122	10/10/2019	Roma	4	37	43	3	44
123	12/10/2019	Roma	23	8	15	12	18
124	15/10/2019	Roma	10	40	1	33	4
125	17/10/2019	Roma	35	37	16	31	18
126	19/10/2019	Roma	5	34	35	14	22
127	22/10/2019	Roma	38	40	7	35	21
128	24/10/2019	Roma	32	3	6	28	12
129	26/10/2019	Roma	26	22	7	35	27
130	29/10/2019	Roma	32	10	42	11	24
131	31/10/2019	Roma	23	20	33	2	31
132	02/11/2019	Torino	24	41	37	7	35
133	05/11/2019	Torino	18	24	42	41	37
134	07/11/2019	Torino	26	19	17	5	40
135	09/11/2019	Torino	29	8	22	3	9
136	12/11/2019	Torino	21	24	2	33	45
137	14/11/2019	Torino	37	45	17	9	12
138	16/11/2019	Torino	12	36	5	45	19
139	19/11/2019	Torino	30	42	27	24	29
140	21/11/2019	Torino	3	19	12	31	11
141	23/11/2019	Torino	16	6	21	9	10
142	26/11/2019	Torino	2	25	10	40	28
143	28/11/2019	Torino	23	1	14	26	2
144	30/11/2019	Torino	35	7	23	15	12
145	03/12/2019	Venezia	29	36	9	5	4
146	05/12/2019	Venezia	4	22	12	2	20
147	07/12/2019	Venezia	30	2	25	31	22
148	10/12/2019	Venezia	7	1	26	38	23
149	12/12/2019	Venezia	23	1	45	22	24
150	14/12/2019	Venezia	9	7	25	5	35
151	17/12/2019	Venezia	14	17	1	25	7
152	19/12/2019	Venezia	8	15	27	41	45
153	21/12/2019	Venezia	18	17	34	7	39
154	24/12/2019	Venezia	1	24	23	14	4
155	27/12/2019	Venezia	30	39	25	10	5
156	28/12/2019	Venezia	15	14	8	27	4
157	29/12/2019	Venezia	17	31	21	18	42
1	02/01/2020	Bari	6	26	16	33	27
2	04/01/2020	Bari	43	36	29	35	31
3	07/01/2020	Bari	34	3	2	21	29
4	09/01/2020	Bari	3	35	38	12	28
5	11/01/2020	Bari	13	3	44	30	37
6	14/01/2020	Bari	39	1	32	45	25
7	16/01/2020	Bari	11	40	17	4	43
8	18/01/2020	Bari	22	1	36	42	15
9	21/01/2020	Bari	45	33	23	41	1
10	23/01/2020	Bari	45	16	6	33	43
11	25/01/2020	Bari	36	25	22	21	29
12	28/01/2020	Bari	31	36	35	33	24
13	30/01/2020	Bari	15	5	6	11	25
14	01/02/2020	Cagliari	32	45	44	17	4
15	04/02/2020	Cagliari	23	40	21	33	12
16	06/02/2020	Cagliari	43	9	34	15	5
17	08/02/2020	Cagliari	28	25	13	8	42
18	11/02/2020	Cagliari	36	20	1	9	22
19	13/02/2020	Cagliari	22	41	19	11	9
20	15/02/2020	Cagliari	20	22	41	35	13
21	18/02/2020	Cagliari	38	2	18	29	4
22	20/02/2020	Cagliari	40	33	17	18	14
23	22/02/2020	Cagliari	32	20	44	11	41
24	25/02/2020	Cagliari	11	41	39	31	15
25	27/02/2020	Cagliari	25	9	29	17	26
26	29/02/2020	Cagliari	18	24	19	41	20
27	03/03/2020	Firenze	34	40	5	18	17
28	05/03/2020	Firenze	4	35	32	42	24
29	07/03/2020	Firenze	20	29	40	13	33
30	10/03/2020	Firenze	11	34	4	23	20
31	12/03/2020	Firenze	23	10	43	22	26
32	14/03/2020	Firenze	14	42	4	45	1
33	17/03/2020	Firenze	19	38	17	39	14
34	19/03/2020	Firenze	37	41	1	13	30
35	21/03/2020	Firenze	3	17	7	11	45
54	05/05/2020	Milano	38	30	32	15	5
55	07/05/2020	Milano	15	24	21	34	17
56	09/05/2020	Milano	26	14	3	15	43
57	12/05/2020	Milano	28	33	29	14	36
58	14/05/2020	Milano	13	5	38	22	20
59	16/05/2020	Milano	26	43	5	42	11
60	19/05/2020	Milano	8	36	27	9	35
61	21/05/2020	Milano	6	35	8	45	32
62	23/05/2020	Milano	43	18	9	11	39
63	26/05/2020	Milano	15	12	3	44	16
64	28/05/2020	Milano	17	21	45	13	10
65	30/05/2020	Milano	29	11	5	35	7
66	03/06/2020	Napoli	21	29	26	14	28
67	04/06/2020	Napoli	15	31	7	45	11
68	06/06/2020	Napoli	24	3	4	33	32
69	09/06/2020	Napoli	13	36	31	26	28
70	11/06/2020	Napoli	13	32	37	23	21
71	13/06/2020	Napoli	38	20	5	2	22
72	16/06/2020	Napoli	9	7	10	35	34
73	18/06/2020	Napoli	44	21	12	10	1
74	20/06/2020	Napol	6	10	13	39	14
75	23/06/2020	Napoli	35	12	1	29	18
76	25/06/2020	Napoli	26	4	44	30	8
77	27/06/2020	Napoli	12	43	36	26	34
78	30/06/2020	Napoli	35	20	18	29	42
79	02/07/2020	Nazionale	26	45	36	1	38
80	04/07/2020	Nazionale	27	5	11	14	17
81	07/07/2020	Nazionale	12	39	8	27	26
82	09/07/2020	Nazionale	2	13	21	39	36
83	11/07/2020	Nazionale	26	33	45	30	29
84	14/07/2020	Nazionale	11	35	25	43	28
85	16/07/2020	Nazionale	36	44	38	25	7
86	18/07/2020	Nazionale	37	5	10	8	29
87	21/07/2020	Nazionale	5	26	45	16	20
88	23/07/2020	Nazionale	37	6	11	38	30
89	25/07/2020	Nazionale	4	16	19	12	1
90	28/07/2020	Nazionale	4	33	46	1	25
91	30/07/2020	Nazionale	7	21	45	35	2
92	01/08/2020	Genova	43	12	6	44	39
93	04/08/2020	Genova	29	11	3	17	34
94	06/08/2020	Genova	39	1	38	30	16
95	08/08/2020	Genova	2	3	16	40	23
96	11/08/2020	Genova	24	4	1	45	3
97	13/08/2020	Genova	11	36	6	30	5
98	17/08/2020	Genova	45	5	28	30	2
99	18/08/2020	Genova	14	41	15	18	1
100	20/08/2020	Genova	32	42	10	19	31
101	22/08/2020	Genova	14	38	21	36	34
102	25/08/2020	Genova	45	36	41	15	34
103	27/08/2020	Genova	30	27	43	7	8
104	29/08/2020	Genova	18	6	5	10	44
105	01/09/2020	Palermo	39	40	4	2	11
106	03/09/2020	Palermo	24	10	44	22	2
107	05/09/2020	Palermo	6	36	17	27	41
108	08/09/2020	Palermo	4	26	21	28	2
109	10/09/2020	Palermo	38	24	41	17	9
110	12/09/2020	Palermo	3	21	18	36	39
111	15/09/2020	Palermo	13	23	2	18	1
112	17/09/2020	Palermo	25	6	22	12	21
113	19/09/2020	Palermo	36	22	29	28	13
114	22/09/2020	Palermo	7	42	39	12	2
115	24/09/2020	Palermo	39	8	29	3	9
116	26/09/2020	Palermo	21	7	14	16	18
117	29/09/2020	Palermo	16	42	18	10	37
118	01/10/2020	Roma	36	13	1	40	28
119	03/10/2020	Roma	22	27	40	13	2
120	06/10/2020	Roma	6	17	12	21	43
121	08/10/2020	Roma	8	7	36	42	22
122	10/10/2020	Roma	45	2	38	9	8
123	13/10/2020	Roma	16	25	6	13	11
124	15/10/2020	Roma	3	11	8	38	40
125	17/10/2020	Roma	33	13	15	14	5
126	20/10/2020	Roma	36	4	12	6	44
127	22/10/2020	Roma	26	17	37	15	39
128	24/10/2020	Roma	34	15	36	41	3
129	27/10/2020	Roma	12	25	26	23	13
130	29/10/2020	Roma	8	19	11	28	37
131	31/10/2020	Roma	17	38	40	32	3
132	03/11/2020	Torino	18	21	6	36	13
133	05/11/2020	Torino	3	5	43	38	23
134	07/11/2020	Torino	14	45	9	30	21
135	10/11/2020	Torino	4	21	2	33	26
136	12/11/2020	Torino	11	29	30	25	12
137	14/11/2020	Torino	28	14	31	19	35
138	17/11/2020	Torino	29	17	36	6	42
139	19/11/2020	Torino	42	3	32	19	15
140	21/11/2020	Torino	11	28	21	14	22
141	24/11/2020	Torino	7	26	35	45	40
142	26/11/2020	Torino	43	27	16	11	40
143	28/11/2020	Torino	12	4	41	6	44
144	01/12/2020	Venezia	11	14	3	17	20
145	03/12/2020	Venezia	6	11	42	45	33
146	05/12/2020	Venezia	2	17	40	12	15
147	09/12/2020	Venezia	29	9	30	44	34
148	10/12/2020	Venezia	40	5	7	1	4
149	12/12/2020	Venezia	37	45	15	34	22
150	15/12/2020	Venezia	8	11	40	36	5
151	17/12/2020	Venezia	7	13	31	1	12
152	19/12/2020	Venezia	42	6	38	14	1
153	22/12/2020	Venezia	23	43	44	6	42
154	24/12/2020	Venezia	19	23	26	38	22
155	28/12/2020	Venezia	13	12	23	33	10
156	29/12/2020	Venezia	39	8	41	24	9
157	31/12/2020	Venezia	8	4	1	18	29
1	02/01/2021	Bari	8	33	18	12	3
2	05/01/2021	Bari	27	13	44	2	16
3	07/01/2021	Bari	42	0	8	22	32
4	09/01/2021	Bari	10	8	6	38	21
5	12/01/2021	Bari	3	43	42	36	17
6	14/01/2021	Bari	12	13	5	37	11
7	16/01/2021	Bari	4	9	2	39	29
8	19/01/2021	Bari	34	9	38	12	19
9	21/01/2021	Bari	38	4	36	33	1
10	23/01/2021	Bari	14	28	38	24	15
11	26/01/2021	Bari	39	7	26	25	19
12	28/01/2021	Bari	9	1	38	5	7
13	30/01/2021	Bari	20	6	34	22	44
14	02/02/2021	Cagliari	3	20	18	16	26
15	04/02/2021	Cagliari	29	12	26	44	33
16	06/02/2021	Cagliari	15	3	31	1	24
17	09/02/2021	Cagliari	19	2	9	41	14
18	11/02/2021	Cagliari	39	12	16	28	6
19	13/02/2021	Cagliari	9	18	19	7	12
20	16/02/2021	Cagliari	2	6	22	20	27
21	18/02/2021	Cagliari	21	38	27	16	13
22	20/02/2021	Cagliari	23	3	25	7	5
23	23/02/2021	Cagliari	34	13	23	35	20
24	25/02/2021	Cagliari	13	29	12	28	37
25	27/02/2021	Cagliari	14	45	40	11	34
26	02/03/2021	Firenze	32	30	35	1	2
27	04/03/2021	Firenze	10	30	43	12	37
28	06/03/2021	Firenze	26	19	31	3	41
29	09/03/2021	Firenze	43	22	5	20	16
30	11/03/2021	Firenze	20	4	29	19	43
31	13/03/2021	Firenze	2	11	14	28	20
32	16/03/2021	Firenze	5	28	20	10	18
33	18/03/2021	Firenze	39	33	38	25	11
34	20/03/2021	Firenze	20	12	24	19	37
35	23/03/2021	Firenze	18	3	34	35	19
36	25/03/2021	Firenze	27	25	14	17	24
37	27/03/2021	Firenze	20	42	25	35	23
38	30/03/2021	Firenze	33	27	45	1	25
39	01/04/2021	Genova	32	30	27	20	5
40	03/04/2021	Genova	39	21	28	40	18
41	06/04/2021	Genova	32	29	6	41	45
42	08/04/2021	Genova	10	22	30	36	23
43	10/04/2021	Genova	36	7	31	3	43
44	13/04/2021	Genova	13	15	28	42	18
45	15/04/2021	Genova	34	35	22	30	5
46	17/04/2021	Genova	38	36	41	17	13
47	20/04/2021	Genova	35	34	45	11	27
48	22/04/2021	Genova	15	12	33	45	19
49	24/04/2021	Genova	28	4	5	35	39
50	27/04/2021	Genova	32	42	22	8	18
51	29/04/2021	Genova	11	3	40	44	19
52	03/05/2021	Milano	15	9	5	41	26
53	04/05/2021	Milano	33	17	43	1	9
54	06/05/2021	Milano	19	36	15	23	16
55	08/05/2021	Milano	14	39	1	23	21
56	11/05/2021	Milano	45	15	32	35	9
57	13/05/2021	Milano	14	7	20	22	28
58	15/05/2021	Milano	24	36	6	28	21
59	18/05/2021	Milano	11	32	25	20	29
60	20/05/2021	Milano	23	27	20	15	44
61	22/05/2021	Milano	20	25	43	21	1
62	25/05/2021	Milano	3	44	1	36	35
63	27/05/2021	Milano	8	13	40	25	14
64	29/05/2021	Milano	3	27	30	35	32
65	01/6/2021	Napoli	9	39	38	19	16
66	03/06/2021	Napoli	42	34	17	13	38
67	05/06/2021	Napoli	40	27	42	14	19
68	08/06/2021	Napoli	14	26	19	25	23
69	10/06/2021	Napoli	1	18	26	15	23
70	12/06/2021	Napoli	32	18	29	36	13
