Archivio estrazioni SiVinceTutto SuperEnalotto anno 2011 aggiornato al 30/12/2011
Concorso	Data	N.1	N.2	N.3	N.4	N.5	N.6
207	30/12/2011	5	11	43	48	62	69
206	30/11/2011	4	23	39	41	78	81
205	28/10/2011	49	57	66	68	74	86
204	30/09/2011	14	24	48	77	79	85
203	31/08/2011	5	10	24	80	81	89
202	27/07/2011	8	50	54	62	80	84
201	08/06/2011	8	11	26	32	44	77
200	27/04/2011	1	7	19	32	41	71
Archivio estrazioni SiVinceTutto SuperEnalotto anno 2012 aggiornato al 31/12/2012
211	31/12/2012	14	19	35	47	50	83
210	28/11/2012	1	24	40	44	52	78
209	31/10/2012	7	9	38	47	48	76
208	26/09/2012	2	7	21	47	73	83
207	29/08/2012	6	35	55	70	72	82
206	25/07/2012	16	22	47	48	53	78
205	27/06/2012	5	11	12	35	47	85
204	30/05/2012	19	34	48	61	66	87
203	30/04/2012	5	13	14	25	56	75
202	28/03/2012	19	54	57	72	86	90
201	29/02/2012	7	20	30	39	67	68
200	25/01/2012	2	7	38	70	77	88
Archivio estrazioni SiVinceTutto SuperEnalotto anno 2013 aggiornato al 30/12/2013
211	30/12/2013	24	34	45	51	71	75
210	27/11/2013	7	11	21	30	51	77
209	30/10/2013	20	30	35	72	79	82
208	25/09/2013	14	15	22	53	60	67
207	28/08/2013	20	30	52	63	69	80
206	31/07/2013	50	54	61	67	83	86
205	26/06/2013	3	9	35	39	44	89
204	29/05/2013	29	54	61	69	72	85
203	24/04/2013	22	43	52	56	63	81
202	27/03/2013	14	24	43	49	57	72
201	27/02/2013	13	27	67	80	81	82
200	30/01/2013	12	13	47	53	71	89
Archivio estrazioni SiVinceTutto SuperEnalotto anno 2014 aggiornato al 31/12/2014
211	31/12/2014	14	32	51	53	74	77
210	26/11/2014	10	18	24	35	47	50
209	29/10/2014	10	13	51	54	57	85
208	24/09/2014	25	30	50	51	81	86
207	27/08/2014	2	11	42	64	82	90
206	30/07/2014	11	17	38	42	63	80
205	25/06/2014	10	23	38	46	64	67
204	28/05/2014	11	15	54	55	65	68
203	30/04/2014	4	30	31	61	67	73
202	26/03/2014	4	9	11	19	31	86
201	26/02/2014	31	45	47	63	66	71
200	29/01/2014	9	44	65	68	74	78
Archivio estrazioni SiVinceTutto SuperEnalotto anno 2015 aggiornato al 30/12/2015
211	30/12/2015	4	9	12	15	43	53
210	25/11/2015	1	22	43	48	55	70
