Archivio estrazioni VinciCasa
Concorso	Data	N.1	N.2	N.3	N.4	N.5	V5	Q5	V4	Q4	V3	Q3	V2	Q2
74	15/03/2026	17	23	34	37	40	0	50000000	3	33709	152	2352	1567	314
73	14/03/2026	1	9	27	35	39	0	50000000	7	28494	288	2449	3347	290
72	13/03/2026	8	17	18	33	37	0	50000000	7	22057	284	1922	2987	252
71	12/03/2026	4	19	20	38	40	0	50000000	4	38077	234	2301	2875	258
70	11/03/2026	9	14	18	22	28	0	50000000	7	19697	223	2186	2657	253
69	10/03/2026	1	3	18	30	36	0	50000000	9	17335	244	2261	2881	264
68	09/03/2026	10	20	22	28	30	0	50000000	4	33012	255	1831	2513	256
67	08/03/2026	8	17	20	35	38	0	50000000	2	50161	161	2203	1901	257
66	07/03/2026	23	26	27	29	38	0	50000000	1	196187	265	2618	3124	306
65	06/03/2026	17	21	24	29	34	0	50000000	7	21575	203	2631	2561	287
64	05/03/2026	31	33	37	39	40	0	50000000	11	14267	185	3000	2060	371
63	04/03/2026	6	13	21	25	28	0	50000000	2	68912	251	1941	2780	241
62	03/03/2026	6	11	14	23	39	0	50000000	7	22556	292	1912	3107	247
61	02/03/2026	14	19	31	35	40	0	50000000	5	27115	168	2853	2131	310
60	01/03/2026	5	13	15	20	29	0	50000000	7	14262	195	1810	2022	240
59	28/02/2026	16	25	27	32	38	0	50000000	3	64509	215	3183	2952	319
58	27/02/2026	7	18	24	25	35	0	50000000	5	29586	249	2101	2846	253
57	26/02/2026	9	15	16	24	28	0	50000000	5	30708	281	1932	2902	258
56	25/02/2026	8	29	34	36	40	0	50000000	2	67963	163	2949	2157	307
55	24/02/2026	12	19	20	23	25	0	50000000	15	10308	370	1477	3355	224
54	23/02/2026	5	17	30	36	39	0	50000000	1	132893	194	2422	2186	296
53	22/02/2026	8	13	25	32	36	0	50000000	5	19696	155	2246	1820	263
52	21/02/2026	3	11	16	31	34	0	50000000	9	21248	290	2332	3417	272
51	20/02/2026	1	7	9	11	13	1	50000000	27	5473	469	1114	3795	189
50	19/02/2026	3	4	14	16	22	0	50000000	6	25090	295	1804	2981	246
49	18/02/2026	12	19	33	34	36	0	50000000	2	67742	164	2921	2111	313
48	17/02/2026	12	15	21	36	40	0	50000000	6	25684	210	2595	2560	293
47	16/02/2026	1	13	14	17	38	0	50000000	6	22071	195	2401	2472	261
46	15/02/2026	1	5	15	23	33	0	50000000	9	10937	197	1767	1857	258
45	14/02/2026	9	16	18	25	31	0	50000000	7	27539	329	2072	3647	257
44	13/02/2026	5	6	7	20	28	0	50000000	4	38548	367	1485	3506	214
43	12/02/2026	2	6	30	31	37	0	50000000	3	51264	146	3725	2502	299
42	11/02/2026	10	17	21	22	30	0	50000000	7	19718	245	1992	2622	256
41	10/02/2026	13	14	22	30	37	0	50000000	5	31400	185	3001	2523	303
40	09/02/2026	2	16	21	25	34	0	50000000	6	22497	168	2841	2194	300
39	08/02/2026	2	12	16	33	38	0	50000000	5	21043	155	2400	1867	274
38	07/02/2026	8	15	18	26	33	0	50000000	8	24688	362	1929	3773	255
37	06/02/2026	12	18	23	32	34	0	50000000	3	51691	224	2448	2480	305
36	05/02/2026	5	17	18	30	34	0	50000000	6	26888	263	2169	2964	265
35	04/02/2026	1	4	28	33	35	0	50000000	1	137210	155	3130	2260	296
34	03/02/2026	10	14	29	35	36	0	50000000	7	22626	179	3129	2352	328
33	02/02/2026	8	10	18	30	37	0	50000000	5	27640	272	1796	2750	245
32	01/02/2026	3	8	13	14	17	0	50000000	10	10311	252	1447	2467	203
31	31/01/2026	5	6	9	15	28	0	50000000	16	12303	439	1585	4279	224
30	30/01/2026	1	19	20	21	23	0	50000000	8	18835	302	1764	3026	242
29	29/01/2026	3	7	15	28	36	0	50000000	12	12918	262	2092	2866	263
28	28/01/2026	5	10	13	18	31	0	50000000	8	16715	265	1784	2826	230
27	27/01/2026	7	8	13	16	25	0	50000000	9	17455	384	1446	3672	208
26	26/01/2026	3	9	10	16	21	0	50000000	7	18907	272	1720	2825	228
25	25/01/2026	8	9	20	24	33	0	50000000	4	25334	194	1847	2141	230
24	24/01/2026	1	23	25	26	32	0	50000000	8	24966	298	2370	3568	273
23	23/01/2026	5	8	21	28	30	0	50000000	8	18895	315	1697	3079	239
22	22/01/2026	4	21	23	25	28	0	50000000	9	17620	296	1894	3109	248
21	21/01/2026	5	6	7	10	40	0	50000000	7	19813	306	1602	3369	200
20	20/01/2026	2	6	17	23	27	0	50000000	9	17301	336	1638	3308	229
19	19/01/2026	8	11	15	20	36	0	50000000	6	22211	246	1915	2742	237
18	18/01/2026	1	29	34	37	39	0	50000000	2	52296	103	3591	1415	360
17	17/01/2026	4	7	11	22	26	0	50000000	30	6727	516	1383	4611	213
16	16/01/2026	15	17	18	20	31	0	50000000	9	17583	231	2422	2815	274
15	15/01/2026	11	14	16	27	39	0	50000000	3	54215	221	2602	2949	269
14	14/01/2026	11	21	25	27	37	0	50000000	13	11289	258	2011	2877	248
13	13/01/2026	6	10	25	29	36	0	50000000	15	11446	293	2072	3187	262
12	12/01/2026	1	10	14	19	33	0	50000000	10	13606	262	1836	2633	252
11	11/01/2026	6	9	24	31	33	1	50000000	3	34082	178	2031	1889	264
10	10/01/2026	2	19	20	37	39	0	50000000	4	49535	290	2416	3351	288
